SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FTP	FT_PERCENTAGE	CHANGE_IN_FTP	COMBINED_MINUTES
34988	28-DEC-13	Trevor Ariza	79.39609236234458259325044404973357015986	50	-29.39609236234458259325044404973357015986	50
34987	28-DEC-13	Marcin Gortat	68.49315068493150684931506849315068493151	100	31.50684931506849315068493150684931506849	51
34992	28-DEC-13	Nenê	62.95081967213114754098360655737704918033	75	12.04918032786885245901639344262295081967	41
35085	28-DEC-13	Nikola Pekovic	77.63864042933810375670840787119856887299	62.5	-15.13864042933810375670840787119856887299	67
35083	28-DEC-13	Kevin Love	82.76580958999305072967338429464906184851	77.77777777777777777777777777777777777778	-4.98803181221527295189560651687128407073	67
35087	28-DEC-13	Ricky Rubio	83.64611260053619302949061662198391420912	100	16.35388739946380697050938337801608579088	54
35084	28-DEC-13	Corey Brewer	72.10599721059972105997210599721059972106	100	27.89400278940027894002789400278940027894	57
35059	28-DEC-13	Wilson Chandler	74.5318352059925093632958801498127340824	66.66666666666666666666666666666666666667	-7.86516853932584269662921348314606741573	71
35061	28-DEC-13	Ty Lawson	77.33990147783251231527093596059113300493	100	22.66009852216748768472906403940886699507	69
35063	28-DEC-13	Jordan Hamilton	64	100	36	58
35062	28-DEC-13	Timofey Mozgov	73.21100917431192660550458715596330275229	100	26.78899082568807339449541284403669724771	60
35039	28-DEC-13	Ryan Anderson	86.19119878603945371775417298937784522003	75	-11.19119878603945371775417298937784522003	78
35041	28-DEC-13	Jrue Holiday	79.51030927835051546391752577319587628866	50	-29.51030927835051546391752577319587628866	61
35040	28-DEC-13	Anthony Davis	78.83522727272727272727272727272727272727	100	21.16477272727272727272727272727272727273	66
35146	28-DEC-13	Gordon Hayward	82.4037184594953519256308100929614873838	100	17.5962815405046480743691899070385126162	70
35147	28-DEC-13	Marvin Williams	83.51409978308026030368763557483731019523	100	16.48590021691973969631236442516268980477	62
35144	28-DEC-13	Trey Burke	79.93197278911564625850340136054421768707	100	20.06802721088435374149659863945578231293	73
35148	28-DEC-13	Derrick Favors	66.63660955816050495942290351668169522092	100	33.36339044183949504057709648331830477908	55
35145	28-DEC-13	Richard Jefferson	71.38888888888888888888888888888888888889	80	8.61111111111111111111111111111111111111	57
35150	28-DEC-13	Alec Burks	75.90027700831024930747922437673130193906	66.66666666666666666666666666666666666667	-9.23361034164358264081255771006463527239	54
35149	28-DEC-13	Enes Kanter	77.65843179377013963480128893662728249194	100	22.34156820622986036519871106337271750806	46
35126	28-DEC-13	Mario Chalmers	79.86301369863013698630136986301369863014	100	20.13698630136986301369863013698630136986	80
35125	28-DEC-13	Chris Bosh	79.79452054794520547945205479452054794521	100	20.20547945205479452054794520547945205479	74
35128	28-DEC-13	Michael Beasley	76.71957671957671957671957671957671957672	100	23.28042328042328042328042328042328042328	59
35116	28-DEC-13	Goran Dragić	76.96414950419527078565980167810831426392	83.33333333333333333333333333333333333333	6.36918382913806254767353165522501906941	68
35117	28-DEC-13	P.J. Tucker	76.66666666666666666666666666666666666667	83.33333333333333333333333333333333333333	6.66666666666666666666666666666666666666	63
35118	28-DEC-13	Eric Bledsoe	80.92105263157894736842105263157894736842	83.33333333333333333333333333333333333333	2.41228070175438596491228070175438596491	53
35119	28-DEC-13	Miles Plumlee	55.25291828793774319066147859922178988327	50	-5.25291828793774319066147859922178988327	50
35121	28-DEC-13	Marcus Morris	72.80453257790368271954674220963172804533	100	27.19546742209631728045325779036827195467	43
35174	29-DEC-13	Kyrie Irving	87.31942215088282504012841091492776886035	100	12.68057784911717495987158908507223113965	81
35175	29-DEC-13	Anderson Varejao	69.74169741697416974169741697416974169742	100	30.25830258302583025830258302583025830258	66
35173	29-DEC-13	Tristan Thompson	61.10552763819095477386934673366834170854	100	38.89447236180904522613065326633165829146	66
35178	29-DEC-13	Dion Waiters	70.41095890410958904109589041095890410959	50	-20.41095890410958904109589041095890410959	71
35180	29-DEC-13	Tyler Zeller	76.5834932821497120921305182341650671785	100	23.4165067178502879078694817658349328215	40
35185	29-DEC-13	Paul Millsap	74.78202548625083836351441985244802146211	80	5.21797451374916163648558014755197853789	76
35186	29-DEC-13	Jeff Teague	85.9571322985957132298595713229859571323	100	14.0428677014042867701404286770140428677	73
35184	29-DEC-13	Lou Williams	86.14718614718614718614718614718614718615	100	13.85281385281385281385281385281385281385	70
35204	29-DEC-13	Dwight Howard	51.75624206517139229792636479052052475667	14.28571428571428571428571428571428571429	-37.47052777945710658364065050480623904238	67
35202	29-DEC-13	Chandler Parsons	71.03918228279386712095400340715502555366	100	28.96081771720613287904599659284497444634	74
35203	29-DEC-13	James Harden	86.06168446026097271648873072360616844603	80	-6.06168446026097271648873072360616844603	70
35205	29-DEC-13	Jeremy Lin	81.08695652173913043478260869565217391304	50	-31.08695652173913043478260869565217391304	58
35208	29-DEC-13	Aaron Brooks	80.23598820058997050147492625368731563422	100	19.76401179941002949852507374631268436578	43
35207	29-DEC-13	Omri Casspi	69.69026548672566371681415929203539823009	50	-19.69026548672566371681415929203539823009	43
35250	29-DEC-13	Hollis Thompson	71.28712871287128712871287128712871287129	50	-21.28712871287128712871287128712871287129	51
35249	29-DEC-13	Michael Carter-Williams	70.20057306590257879656160458452722063037	100	29.79942693409742120343839541547277936963	65
35248	29-DEC-13	Spencer Hawes	76.98412698412698412698412698412698412698	75	-1.98412698412698412698412698412698412698	66
35246	29-DEC-13	Thaddeus Young	61.94563662374821173104434907010014306152	83.33333333333333333333333333333333333333	21.38769670958512160228898426323319027181	71
35252	29-DEC-13	Tony Wroten	64.0625	100	35.9375	49
35484	31-DEC-13	Jimmy Butler	83.280590717299578059071729957805907173	66.66666666666666666666666666666666666667	-16.61392405063291139240506329113924050633	79
35486	31-DEC-13	Joakim Noah	66.81222707423580786026200873362445414847	75	8.18777292576419213973799126637554585153	66
35488	31-DEC-13	Carlos Boozer	70.98765432098765432098765432098765432099	100	29.01234567901234567901234567901234567901	55
35487	31-DEC-13	Kirk Hinrich	73.3031674208144796380090497737556561086	100	26.6968325791855203619909502262443438914	59
35490	31-DEC-13	Mike Dunleavy	83.63636363636363636363636363636363636364	100	16.36363636363636363636363636363636363636	51
35536	31-DEC-13	Damian Lillard	87.42736397253037506603275224511357633386	100	12.57263602746962493396724775488642366614	82
35537	31-DEC-13	LaMarcus Aldridge	83.47485303723056825604180274330502939255	83.33333333333333333333333333333333333333	-0.14151970389723492270846940997169605922	79
35539	31-DEC-13	Nicolas Batum	83.93977415307402760351317440401505646173	100	16.06022584692597239648682559598494353827	77
35540	31-DEC-13	Wesley Matthews	82.1556886227544910179640718562874251497	100	17.8443113772455089820359281437125748503	76
35538	31-DEC-13	Robin Lopez	77.47747747747747747747747747747747747748	100	22.52252252252252252252252252252252252252	63
35541	31-DEC-13	Mo Williams	87.95180722891566265060240963855421686747	0	-87.95180722891566265060240963855421686747	49
35595	01-JAN-14	Paul George	84.88135593220338983050847457627118644068	100	15.11864406779661016949152542372881355932	75
35599	01-JAN-14	Roy Hibbert	78.40579710144927536231884057971014492754	80	1.59420289855072463768115942028985507246	56
35596	01-JAN-14	Lance Stephenson	67.87762906309751434034416826003824091778	0	-67.87762906309751434034416826003824091778	66
35597	01-JAN-14	David West	76.51195499296765119549929676511954992968	75	-1.51195499296765119549929676511954992968	59
35600	01-JAN-14	Danny Granger	86.36363636363636363636363636363636363636	100	13.63636363636363636363636363636363636364	42
35611	01-JAN-14	Jonas Valan�?iūnas	77.7670837343599615014436958614051973051	75	-2.7670837343599615014436958614051973051	69
35607	01-JAN-14	DeMar DeRozan	83.69609856262833675564681724845995893224	88.88888888888888888888888888888888888889	5.19279032626055213324207164042892995665	75
35609	01-JAN-14	Kyle Lowry	81.14525139664804469273743016759776536313	100	18.85474860335195530726256983240223463687	66
35608	01-JAN-14	Terrence Ross	80.62015503875968992248062015503875968992	100	19.37984496124031007751937984496124031008	67
35850	02-JAN-14	Thaddeus Young	61.94563662374821173104434907010014306152	100	38.05436337625178826895565092989985693848	76
35849	02-JAN-14	Evan Turner	79.88668555240793201133144475920679886686	100	20.11331444759206798866855524079320113314	82
35851	02-JAN-14	Michael Carter-Williams	70.20057306590257879656160458452722063037	50	-20.20057306590257879656160458452722063037	62
35853	02-JAN-14	Spencer Hawes	76.98412698412698412698412698412698412698	100	23.01587301587301587301587301587301587302	49
35854	02-JAN-14	Tony Wroten	64.0625	61.53846153846153846153846153846153846154	-2.52403846153846153846153846153846153846	51
35827	02-JAN-14	Kemba Walker	82.92375551354757403906742281033396345306	100	17.07624448645242596093257718966603654694	62
35829	02-JAN-14	Gerald Henderson	81.34969325153374233128834355828220858896	83.33333333333333333333333333333333333333	1.98364008179959100204498977505112474437	56
35826	02-JAN-14	Al Jefferson	72.89719626168224299065420560747663551402	50	-22.89719626168224299065420560747663551402	59
35830	02-JAN-14	Ramon Sessions	78.86255924170616113744075829383886255924	80	1.13744075829383886255924170616113744076	51
35831	02-JAN-14	Chris Douglas-Roberts	84.61538461538461538461538461538461538462	85.71428571428571428571428571428571428571	1.09890109890109890109890109890109890109	41
35894	03-JAN-14	Stephen Curry	90.01297016861219195849546044098573281453	87.5	-2.51297016861219195849546044098573281453	79
35892	03-JAN-14	Klay Thompson	85.06417736289381563593932322053675612602	100	14.93582263710618436406067677946324387398	78
35893	03-JAN-14	David Lee	75.64276048714479025710419485791610284168	71.42857142857142857142857142857142857143	-4.21418905857336168567562342934467427025	75
35897	03-JAN-14	Harrison Barnes	79.4475138121546961325966850828729281768	0	-79.4475138121546961325966850828729281768	56
35898	03-JAN-14	Draymond Green	70.5956907477820025348542458808618504436	0	-70.5956907477820025348542458808618504436	43
35921	03-JAN-14	Jordan Crawford	82.91666666666666666666666666666666666667	100	17.08333333333333333333333333333333333333	75
35925	03-JAN-14	Jared Sullinger	73.24561403508771929824561403508771929825	100	26.75438596491228070175438596491228070175	61
35924	03-JAN-14	Jeff Green	81.48148148148148148148148148148148148148	66.66666666666666666666666666666666666667	-14.81481481481481481481481481481481481481	60
35923	03-JAN-14	Avery Bradley	77.5362318840579710144927536231884057971	100	22.4637681159420289855072463768115942029	64
35926	03-JAN-14	Kris Humphries	78.17745803357314148681055155875299760192	75	-3.17745803357314148681055155875299760192	50
35931	03-JAN-14	Carmelo Anthony	82.8160919540229885057471264367816091954	100	17.1839080459770114942528735632183908046	77
35932	03-JAN-14	Iman Shumpert	74.79674796747967479674796747967479674797	100	25.20325203252032520325203252032520325203	67
