SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TURNOVERS_PER36	TURNOVERS_PER36	CHANGE_IN_TP36	COMBINED_MINUTES
1409	08-NOV-12	Caron Butler	1.2981700753498385360602798708288482239	1.71428571428571428571428571428571428571	0.41611563893587574965400584345686606181	42
1411	08-NOV-12	Jamal Crawford	2.16168224299065420560747663551401869159	1.28571428571428571428571428571428571429	-0.8759679572763684913217623497997329773	55
1412	08-NOV-12	Matt Barnes	1.71590602214420739940588711855252497975	1.33333333333333333333333333333333333333	-0.38257268881087406607255378521919164642	54
1592	09-NOV-12	Thabo Sefolosha	1.14586070959264126149802890932982917214	2.88	1.73413929040735873850197109067017082786	64
1588	09-NOV-12	Kevin Durant	3.1618569636135508155583437892095357591	2.84210526315789473684210526315789473684	-0.31975170045565607871623852605164102226	76
1589	09-NOV-12	Serge Ibaka	1.62838290140575690924739409008319785789	2.05714285714285714285714285714285714286	0.42875995573710023360974876705965928497	72
1590	09-NOV-12	Russell Westbrook	4.57564044943820224719101123595505617978	3.48387096774193548387096774193548387097	-1.09176948169626676332004349401957230881	67
1591	09-NOV-12	Kendrick Perkins	2.50286568651881385497134313481186145029	1.24137931034482758620689655172413793104	-1.26148637617398626876444658308772351925	49
1593	09-NOV-12	Kevin Martin	1.80547112462006079027355623100303951368	3.27272727272727272727272727272727272727	1.46725614810721193699917104172423321359	64
1824	10-NOV-12	Monta Ellis	2.82394366197183098591549295774647887324	0.9473684210526315789473684210526315789468	-1.87657524091919940696812453669384729429	70
1823	10-NOV-12	Brandon Jennings	2.68271711092003439380911435941530524506	2.57142857142857142857142857142857142857	-0.11128853949146296523768578798673381649	73
1825	10-NOV-12	Ersan Ilyasova	1.42465753424657534246575342465753424658	1.125	-0.29965753424657534246575342465753424658	54
1832	10-NOV-12	Mike Dunleavy	1.32721712538226299694189602446483180428	2.57142857142857142857142857142857142857	1.24421144604630843162953254696373962429	47
1828	10-NOV-12	Larry Sanders	1.60105680317040951122853368560105680317	1.38461538461538461538461538461538461539	-0.21644141855502489584391830098567218778	57
1831	10-NOV-12	Ekpe Udoh	1.45990783410138248847926267281105990783	0	-1.45990783410138248847926267281105990783	46
1725	10-NOV-12	A.J. Price	1.84959046909903201787043931496649292628	0	-1.84959046909903201787043931496649292628	73
1727	10-NOV-12	Emeka Okafor	1.77624784853700516351118760757314974182	1.09090909090909090909090909090909090909	-0.68533875762791425442027851666405883273	68
1726	10-NOV-12	Bradley Beal	2.23099623486313218683219700824259692683	3.08571428571428571428571428571428571429	0.85471805085115352745351727747168878746	69
1729	10-NOV-12	Trevor Ariza	1.4461028192371475953565505804311774461	2.76923076923076923076923076923076923077	1.32312794999362163541268018879959178467	58
1728	10-NOV-12	Trevor Booker	1.94357976653696498054474708171206225681	1.16129032258064516129032258064516129032	-0.78228944395631981925442450106690096649	58
1706	10-NOV-12	Jrue Holiday	3.04747452850639497073487968783871667028	7.2	4.15252547149360502926512031216128332972	77
1707	10-NOV-12	Thaddeus Young	1.72539711520905605258353113018075588826	2.11764705882352941176470588235294117647	0.39224994361447335918117475217218528821	75
1705	10-NOV-12	Evan Turner	2.57038093298024037482175595844367488287	2.91891891891891891891891891891891891892	0.34853798593867854409716296047524403605	78
