SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_THREE_ATT_PER36	THREE_ATT_PER36	CHANGE_IN_THPAP36	COMBINED_MINUTES
139594	21-DEC-17	Al Horford	1.99740932642487046632124352331606217617	3.27272727272727272727272727272727272727	1.2753179463024022609514837494112105511	60
139592	21-DEC-17	Marcus Smart	5.38196392785571142284569138276553106212	6.35294117647058823529411764705882352941	0.97097724861487681244842626429329246729	71
139596	21-DEC-17	Terry Rozier	5.93425440686040971891376846117198666032	4	-1.93425440686040971891376846117198666032	44
139648	21-DEC-17	Rodney Hood	6.68071312803889789303079416531604538087	10.28571428571428571428571428571428571429	3.60500115767538782125492012039824033342	63
139646	21-DEC-17	Ricky Rubio	2.7129380053908355795148247978436657682	1.89473684210526315789473684210526315789	-0.81820116328557242162008795573840261031	63
139649	21-DEC-17	Derrick Favors	0.2433826057064283258851839119972499140598	0	-0.2433826057064283258851839119972499140598	55
139647	21-DEC-17	Joe Ingles	5.64985835694050991501416430594900849858	3	-2.64985835694050991501416430594900849858	59
139650	21-DEC-17	Jonas Jerebko	3.85985647952722667792317433516251582946	4.90909090909090909090909090909090909091	1.04923442956368241298591657392839326145	48
139652	21-DEC-17	Alec Burks	3.20835006021678040947410678442392613408	5.14285714285714285714285714285714285714	1.93450708264036244766875035843321672306	46
139651	21-DEC-17	Thabo Sefolosha	3.37976346911957950065703022339027595269	4.90909090909090909090909090909090909091	1.52932743997132959025206068570063313822	47
139635	21-DEC-17	LaMarcus Aldridge	0.6904740158918622705269887660973604895416	1.28571428571428571428571428571428571429	0.5952402698224234437587255196169252247484	64
139643	21-DEC-17	Dejounte Murray	1.28471683475562451512800620636152055857	0	-1.28471683475562451512800620636152055857	46
139638	21-DEC-17	Bryn Forbes	5.41795104261106074342701722574796010879	6	0.58204895738893925657298277425203989121	43
139641	21-DEC-17	Kyle Anderson	1.03597122302158273381294964028776978417	0	-1.03597122302158273381294964028776978417	47
139640	21-DEC-17	Patrick Mills	7.16777188328912466843501326259946949602	9.69230769230769230769230769230769230769	2.52453580901856763925729442970822281167	49
139999	23-DEC-17	DeMarcus Cousins	2.53295592397897290739991912656692276587	2.48275862068965517241379310344827586207	-0.0501973032893177349861260231186469038	62
