SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FT_ATT_PER36	FT_ATT_PER36	CHANGE_IN_FTAP36	COMBINED_MINUTES
82624	28-NOV-15	Kyle Anderson	2.30739045127534336167429692609548724657	3.42857142857142857142857142857142857143	1.12118097729608520975427450247594132486	50
82627	28-NOV-15	Boris Diaw	1.64247442766682903068679980516317584023	0	-1.64247442766682903068679980516317584023	40
82625	28-NOV-15	Patrick Mills	1.77254641909814323607427055702917771883	0	-1.77254641909814323607427055702917771883	41
82584	28-NOV-15	Danilo Gallinari	6.41839220462850182704019488428745432399	2.11764705882352941176470588235294117647	-4.30074514580497241527548900193451314752	69
82583	28-NOV-15	Emmanuel Mudiay	3.89273356401384083044982698961937716263	4.23529411764705882352941176470588235294	0.34256055363321799307958477508650519031	63
82585	28-NOV-15	Darrell Arthur	1.71719128329297820823244552058111380145	0	-1.71719128329297820823244552058111380145	56
82587	28-NOV-15	Will Barton	3.40898419157927688214118015338863671936	2.4	-1.00898419157927688214118015338863671936	59
82582	28-NOV-15	Randy Foye	2.00089887640449438202247191011235955056	0	-2.00089887640449438202247191011235955056	59
82687	28-NOV-15	Draymond Green	2.95659415009888622879150619340064536276	7	4.04340584990111377120849380659935463724	69
82688	28-NOV-15	Stephen Curry	4.75721998457451366869483246207901276888	9.6	4.84278001542548633130516753792098723112	61
82689	28-NOV-15	Klay Thompson	2.56118213514859704466212850738834467873	0	-2.56118213514859704466212850738834467873	53
82692	28-NOV-15	Andre Iguodala	2.33835140541109590483208758816717549216	0	-2.33835140541109590483208758816717549216	45
82693	28-NOV-15	Leandro Barbosa	2.3598326359832635983263598326359832636	3.42857142857142857142857142857142857143	1.06873879258816497310221159593544530783	44
82678	28-NOV-15	Rajon Rondo	1.76208178438661710037174721189591078067	0	-1.76208178438661710037174721189591078067	61
82679	28-NOV-15	Kosta Koufos	2.2172701949860724233983286908077994429	0	-2.2172701949860724233983286908077994429	53
82676	28-NOV-15	Rudy Gay	4.72989909718534253850238980350504514073	8	3.27010090281465746149761019649495485927	54
82677	28-NOV-15	Ben McLemore	2.39381742070520045081307357913379488005	4	1.60618257929479954918692642086620511995	53
82682	28-NOV-15	Willie Cauley-Stein	3.95294117647058823529411764705882352941	3.6	-0.35294117647058823529411764705882352941	45
82681	28-NOV-15	Marco Belinelli	2.6691292875989445910290237467018469657	1.63636363636363636363636363636363636364	-1.03276565123530822739266011033821060206	56
82675	28-NOV-15	Omri Casspi	3.27602174350714717133078316891483793034	2.48275862068965517241379310344827586207	-0.79326312281749199891699006546656206827	57
82680	28-NOV-15	Darren Collison	3.56554640551969730692187847763187180058	1.33333333333333333333333333333333333333	-2.23221307218636397358854514429853846725	50
82634	28-NOV-15	Alonzo Gee	2.50549450549450549450549450549450549451	0	-2.50549450549450549450549450549450549451	59
82633	28-NOV-15	Eric Gordon	3.60043747721472839956252278527160043748	2.25	-1.35043747721472839956252278527160043748	62
82632	28-NOV-15	Anthony Davis	7.12443778110944527736131934032983508246	12.27272727272727272727272727272727272727	5.14828949161782744991140793239743764481	72
82638	28-NOV-15	Ishmael Smith	2.11976047904191616766467065868263473054	4.86486486486486486486486486486486486486	2.74510438582294869720019420618223013432	75
82640	28-NOV-15	Toney Douglas	2.41269841269841269841269841269841269841	0	-2.41269841269841269841269841269841269841	40
82637	28-NOV-15	Ryan Anderson	2.99318697956093868281604844814534443603	5.68421052631578947368421052631578947368	2.69102354675485079086816207817044503765	61
82639	28-NOV-15	Dante Cunningham	1.29030612244897959183673469387755102041	0	-1.29030612244897959183673469387755102041	40
82814	29-NOV-15	DeMar DeRozan	7.48782779533612368668318100281882634321	6.81081081081081081081081081081081081081	-0.6770169845253128758723701920080155324	75
82817	29-NOV-15	Bismack Biyombo	3.86290672451193058568329718004338394794	0	-3.86290672451193058568329718004338394794	68
82816	29-NOV-15	Kyle Lowry	4.73518875723339763020115734362083218518	3.1764705882352941176470588235294117647	-1.55871816899810351255409852009142042048	68
82815	29-NOV-15	DeMarre Carroll	2.74147357458995053371517833897422546212	2.91891891891891891891891891891891891892	0.1774453443289683852037405799446934568	65
82818	29-NOV-15	Luis Scola	3.41845493562231759656652360515021459227	8	4.58154506437768240343347639484978540773	44
82819	29-NOV-15	Cory Joseph	2.50831823422829846812716191731181024543	0	-2.50831823422829846812716191731181024543	67
82750	29-NOV-15	Joe Johnson	2.18540669856459330143540669856459330144	3.69230769230769230769230769230769230769	1.50690099374309900625690099374309900625	78
82751	29-NOV-15	Brook Lopez	5.60097620500305064063453325198291641245	5	-0.60097620500305064063453325198291641245	74
82752	29-NOV-15	Thaddeus Young	2.29724301624977177286835859046923498266	2.32258064516129032258064516129032258064	0.02533762891151854971228657082108759798	67
82753	29-NOV-15	Jarrett Jack	2.9944547134935304990757855822550831793	2.66666666666666666666666666666666666667	-0.32778804682686383240911891558841651263	62
82754	29-NOV-15	Rondae Hollis-Jefferson	5.28495339547270306258322237017310252996	3.42857142857142857142857142857142857143	-1.85638196690127449115465094160167395853	51
82858	29-NOV-15	D'Angelo Russell	3.44763971785132935431361909929462832339	0	-3.44763971785132935431361909929462832339	64
82854	29-NOV-15	Jordan Clarkson	3.00425230333097094259390503189227498228	3.69230769230769230769230769230769230769	0.68805538897672136509840266041541732541	75
82855	29-NOV-15	Kobe Bryant	6.58704861811579584426064151704660076659	4.36363636363636363636363636363636363636	-2.22341225447943220789700515341023713023	67
82856	29-NOV-15	Julius Randle	5.22710951526032315978456014362657091562	5.33333333333333333333333333333333333333	0.10622381807301017354877318970676241771	57
82857	29-NOV-15	Roy Hibbert	3.64062729004836582148614978748351165176	8	4.35937270995163417851385021251648834824	57
82860	29-NOV-15	Metta World Peace	2.70617997831586555836646187206360679436	2.66666666666666666666666666666666666667	-0.03951331164919889169979520539694012769	47
82859	29-NOV-15	Nick Young	3.48005908419497784342688330871491875923	2.57142857142857142857142857142857142857	-0.90863051276640641485545473728634733066	43
82953	30-NOV-15	O.J. Mayo	2.5991305991305991305991305991305991306	1.16129032258064516129032258064516129032	-1.43784027654995396930880801848543784028	75
82951	30-NOV-15	Jerryd Bayless	2.37943696450428396572827417380660954712	2.18181818181818181818181818181818181818	-0.19761878268610214754645599198842772894	76
82952	30-NOV-15	Khris Middleton	3.27349228611500701262272089761570827489	1.16129032258064516129032258064516129032	-2.11220196353436185133239831697054698457	68
82955	30-NOV-15	Giannis Antetokounmpo	6.11712511091393078970718722271517302573	7.2	1.08287488908606921029281277728482697427	51
82954	30-NOV-15	Greg Monroe	5.07058696357150578315857745108636904119	2.88	-2.19058696357150578315857745108636904119	55
82958	30-NOV-15	John Henson	3.70385818561001042752867570385818561001	6.26086956521739130434782608695652173913	2.55701137960738087681915038309833612912	41
82957	30-NOV-15	Jabari Parker	3.62666666666666666666666666666666666667	5.53846153846153846153846153846153846154	1.91179487179487179487179487179487179487	43
82956	30-NOV-15	Michael Carter-Williams	4.46085567193325048819456772590094088408	2.4	-2.06085567193325048819456772590094088408	46
83023	30-NOV-15	Blake Griffin	6.91264197006687188196582103810635813608	11.25	4.33735802993312811803417896189364186392	69
83024	30-NOV-15	J.J. Redick	3.44668207329151535160118851105975569495	0	-3.44668207329151535160118851105975569495	63
83022	30-NOV-15	DeAndre Jordan	5.81523323615160349854227405247813411079	37.09090909090909090909090909090909090908	31.27567585475748741054863503843095679829	66
83026	30-NOV-15	Chris Paul	4.69787234042553191489361702127659574468	6	1.30212765957446808510638297872340425532	56
83025	30-NOV-15	Luc Richard Mbah a Moute	2.54851485148514851485148514851485148515	0	-2.54851485148514851485148514851485148515	47
83027	30-NOV-15	Austin Rivers	3.0952380952380952380952380952380952381	2.88	-0.2152380952380952380952380952380952381	41
82877	30-NOV-15	Andre Drummond	5.64300815463606161280579885231048021746	24	18.35699184536393838719420114768951978254	64
82876	30-NOV-15	Marcus Morris	2.86635840757866245629863538964700575166	3.1764705882352941176470588235294117647	0.31011218065663166134842343388240601304	69
82874	30-NOV-15	Kentavious Caldwell-Pope	2.4436107854630715123094958968347010551	0	-2.4436107854630715123094958968347010551	78
82875	30-NOV-15	Reggie Jackson	3.42944706933980334567743583194994253607	7.78378378378378378378378378378378378378	4.35433671444398043810634795183384124771	67
82878	30-NOV-15	Ersan Ilyasova	2.99875466998754669987546699875466998755	2.88	-0.11875466998754669987546699875466998755	51
82879	30-NOV-15	Stanley Johnson	2.15869170199878861296184130829800121139	4.8	2.64130829800121138703815869170199878861	57
82887	30-NOV-15	Jae Crowder	2.86152685196830587347503458684442208527	4.5	1.63847314803169412652496541315557791473	65
82883	30-NOV-15	Avery Bradley	1.78298839574111735853571001315946883599	3.69230769230769230769230769230769230769	1.9093192965665749491565976791482234717	71
82886	30-NOV-15	Isaiah Thomas	6.93064974841391380441916429665281120105	6.75	-0.18064974841391380441916429665281120105	64
82884	30-NOV-15	Jared Sullinger	3.29572375025095362377032724352539650672	3.1764705882352941176470588235294117647	-0.11925316201565950612326841999598474202	61
82885	30-NOV-15	Amir Johnson	2.47135605511240029006526468455402465555	2.18181818181818181818181818181818181818	-0.28953787329421847188344650273584283737	52
82888	30-NOV-15	Evan Turner	2.58871460582603381544102668567936443267	4.5	1.91128539417396618455897331432063556733	53
82863	30-NOV-15	James Harden	9.80470075115095711170341652532105645748	14.57142857142857142857142857142857142857	4.76672782027761431686801204610751497109	87
82864	30-NOV-15	Trevor Ariza	1.86733001658374792703150912106135986733	0	-1.86733001658374792703150912106135986733	77
82867	30-NOV-15	Clint Capela	4.5623342175066312997347480106100795756	3.27272727272727272727272727272727272727	-1.28960694477935857246202073788280684833	58
82866	30-NOV-15	Patrick Beverley	1.82450385435460062325733967525012301132	0	-1.82450385435460062325733967525012301132	62
82865	30-NOV-15	Dwight Howard	8.7626699629171817058096415327564894932	0	-8.7626699629171817058096415327564894932	61
82871	30-NOV-15	Terrence Jones	3.86613386613386613386613386613386613387	4.8	0.93386613386613386613386613386613386613	40
82868	30-NOV-15	Marcus Thornton	2.41444539982803095442820292347377472055	6.54545454545454545454545454545454545454	4.13100914562651450011725162198077073399	43
83136	01-DEC-15	Wesley Matthews	2.72974936432982201235016345804576825282	5.4	2.67025063567017798764983654195423174718	76
