SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_BLOCKS_PER36	BLOCKS_PER36	CHANGE_IN_BP36	COMBINED_MINUTES
1268	07-NOV-12	Andre Miller	0.1652714015662975965433432352146907912503	0	-0.1652714015662975965433432352146907912503	50
1269	07-NOV-12	Corey Brewer	0.396617986164488854727132974634896233666	3.27272727272727272727272727272727272727	2.8761092865627838725455942980923764936	42
1408	08-NOV-12	Blake Griffin	0.5426175565226621377773060184693769238936	0	-0.5426175565226621377773060184693769238936	56
1406	08-NOV-12	Chris Paul	0.1787234042553191489361702127659574468085	0	-0.1787234042553191489361702127659574468085	63
1407	08-NOV-12	DeAndre Jordan	2.18768221574344023323615160349854227405	1.28571428571428571428571428571428571429	-0.90196793002915451895043731778425655976	55
1409	08-NOV-12	Caron Butler	0.2131324004305705059203444564047362755651	0	-0.2131324004305705059203444564047362755651	42
1411	08-NOV-12	Jamal Crawford	0.227102803738317757009345794392523364486	0	-0.227102803738317757009345794392523364486	55
1412	08-NOV-12	Matt Barnes	0.874966243586281393464758304077774777208	0	-0.874966243586281393464758304077774777208	54
1592	09-NOV-12	Thabo Sefolosha	0.67279894875164257555847568988173455979	0	-0.67279894875164257555847568988173455979	64
1588	09-NOV-12	Kevin Durant	1.25183724681842624126187488797275497401	0	-1.25183724681842624126187488797275497401	76
1589	09-NOV-12	Serge Ibaka	2.6336425361002199483599502725447068949	3.08571428571428571428571428571428571429	0.45207174961406576592576401316957881939	72
1590	09-NOV-12	Russell Westbrook	0.2847640449438202247191011235955056179775	0	-0.2847640449438202247191011235955056179775	67
1591	09-NOV-12	Kendrick Perkins	1.37253924744580114627460752554198853725	0	-1.37253924744580114627460752554198853725	49
1593	09-NOV-12	Kevin Martin	0.0820668693009118541033434650455927051672	1.09090909090909090909090909090909090909	1.00884222160817905498756562586349820392	64
1824	10-NOV-12	Monta Ellis	0.4119718309859154929577464788732394366184	0	-0.4119718309859154929577464788732394366184	70
1823	10-NOV-12	Brandon Jennings	0.1599312123817712811693895098882201203783	0	-0.1599312123817712811693895098882201203783	73
